id;name;servings;instructions;additional_notes;picture;picture_content_type;source;season
1;Shoes Circle Louisiana;23087;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;invoice Orchestrator;SUMMER
2;Strategist Shoes Health;11622;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Panama leverage;SUMMER
3;Architect copy open;92526;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;input;WINTER
4;Facilitator client-driven;94144;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;neural;WINTER
5;Facilitator generating;49368;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Loan;WINTER
6;invoice logistical;16183;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Grocery cross-platform;WINTER
7;Hampshire withdrawal;94864;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Barbados Jewelery Loan;WINTER
8;Buckinghamshire Sleek Representative;99971;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;JBOD Indonesia;YEAR_ROUND
9;Baby AI;42880;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;architecture Palladium payment;YEAR_ROUND
10;Pakistan;52524;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Shirt monitor Customer;SUMMER
